country,1972-01-01 00:00:00,1973-01-01 00:00:00,1974-01-01 00:00:00,1975-01-01 00:00:00,1976-01-01 00:00:00,1977-01-01 00:00:00,1978-01-01 00:00:00,1979-01-01 00:00:00,1980-01-01 00:00:00,1981-01-01 00:00:00,1982-01-01 00:00:00,1983-01-01 00:00:00,1984-01-01 00:00:00,1985-01-01 00:00:00,1986-01-01 00:00:00,1987-01-01 00:00:00,1988-01-01 00:00:00,1989-01-01 00:00:00,1990-01-01 00:00:00,1991-01-01 00:00:00,1992-01-01 00:00:00,1993-01-01 00:00:00,1994-01-01 00:00:00,1995-01-01 00:00:00,1996-01-01 00:00:00,1997-01-01 00:00:00,1998-01-01 00:00:00,1999-01-01 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00
Cuba,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.838483467,-0.967634704,-1.096433069,-0.958570422,-0.934960419,-1.045674004,-1.004514063,-0.901550389,-0.795016341,-0.726640897,-0.834844532,-0.90849654,-0.962713699,-0.875702263,-0.724939983,-0.668957461,-0.588380261,-0.549485529,-0.325723117,-0.339447652,-0.472967429,-0.58279311,-0.425206553,-0.425206553
Curacao,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.974383798,-0.91031549,-0.846422232,-0.575405597,-0.724534544,-0.499252126,-0.497234461,-0.418780374,-0.434403103,-0.312203622,-0.368818303,-0.524624763,-0.581859928,-0.588760987,-0.436476532,-0.567359034,-0.94750623,-1.157084187,-1.292888326,-1.240219929,-1.302215269,-1.214420364,-1.001461839,-1.001461839
Cayman Islands,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.704863031,-0.68059231,-0.555228795,-0.572608735,-0.677073371,-0.684408079,-0.676862742,-0.752652946,1.104642164,0.817611452,0.84505582,0.761496242,0.770904332,0.733097003,0.779690865,0.779690865
Cyprus,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.626118373,-0.40360241,0.089829142,0.4869689,0.829532096,0.916787275,0.929851247,1.066877644,1.161194221,1.323586428,1.345545478,1.262273496,1.298766181,1.179588763,0.989416027,1.005840722,1.046653556,1.053338454,1.273310445,1.303186708,1.362011093,1.392840212,1.469995465,1.565493529,1.565493529
Czech Republic,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.320295008,0.446367271,0.369680002,0.341396917,0.432778142,0.546759656,0.827743227,1.069253962,1.215670873,1.202798236,1.227195485,1.228533757,1.198149689,1.106092453,-0.537076551,-0.498852307,-0.529336845,-0.489576365,-0.472967429,-0.424886296,-0.477593397,-0.477593397
Germany,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.68244937,-0.568549665,-0.454961161,-0.76988584,-0.840092995,-0.864786655,-0.788241909,-0.764544624,-0.677073371,-0.636584533,-0.6287855,-0.649451729,2.38723491,2.336608097,2.321255349,2.362869179,2.377572022,2.206893928,2.19413566,2.19413566
Djibouti,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.267340266,1.436876351,1.527095408,1.94536545,2.191895919,2.179342521,2.148792359,2.165983448,2.39006335,2.495579449,2.542808717,2.567146935,2.59433343,2.369756798,2.328475313,2.496235219,2.568119364,1.412464423,1.42521011,1.303186708,1.362011093,1.341012222,1.417359861,1.513106685,1.513106685
Dominica,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.035912105,-0.092826547,-0.14974099,-0.206655432,-0.263725804,-0.320640247,-0.377554689,-0.434469131,-0.448219086,-0.325723117,-0.43953346,-0.421139439,-0.58279311,-0.63475393,-0.63475393
Denmark,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.425803093,0.625357235,0.409221645,0.736979737,0.829532096,0.790531751,0.80375389,0.728691243,1.161194221,1.323586428,1.575788409,1.541889232,1.586670014,1.370015649,1.372004395,1.342381415,1.418336108,1.566375553,1.678376217,1.761317596,1.91248304,1.962948102,2.048987115,1.932201439,1.932201439
Dominican Republic,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.389326449,-0.542446552,-0.508626172,-0.332688874,-0.439039764,-0.540937441,-0.580708258,-0.509451991,0.437693936,0.311279237,0.437828363,0.461238816,0.719076342,0.680461398,0.779690865,0.779690865
