Country Name,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,1.921983581,1.901844423,1.881705266,1.861566108,1.84142695,1.821287792,1.801148635,1.781009477,1.760870319,1.740731161,1.720592004,1.700452846,1.680313688,1.66017453,1.640035372,1.619896215,1.599757057,1.579617899,1.559478741,1.539339584,1.519200426,1.499061268,1.47892211,1.458782952,1.438643795,1.418504637,1.398365479,1.378226321,1.358087164,1.337948006,1.317808848,1.29766969,1.147487402,1.27218318,1.27474761,1.298273921,1.319785237,1.114503622,1.133149862,1.118746042,1.111112475,1.128505349,1.026687503,1.055999797,1.035860639,1.015721481,0.995582324,0.975443166
Australia,1.671691401,1.679813237,1.687935072,1.696056907,1.704178742,1.712300577,1.720422412,1.728544247,1.736666083,1.744787918,1.752909753,1.761031588,1.769153423,1.777275258,1.785397094,1.793518929,1.801640764,1.809762599,1.817884434,1.826006269,1.834128104,1.84224994,1.850371775,1.85849361,1.885739684,1.825996859,1.766417265,1.861448765,1.956480265,1.854800793,1.753399134,1.944987774,2.096967697,1.974200845,1.991444588,2.041598082,2.071748018,2.07833147,2.044238567,2.080221653,1.99613142,1.760586619,1.869787812,2.020930313,2.029052148,2.037173983,2.045295818,2.053417654
Austria,3.031237273,2.995872116,2.960506959,2.925141803,2.889776646,2.854411489,2.819046333,2.783681176,2.748316019,2.712950863,2.677585706,2.642220549,2.606855393,2.571490236,2.536125079,2.500759923,2.465394766,2.430029609,2.394664453,2.359299296,2.323934139,2.288568983,2.253203826,2.217838669,1.932839155,1.999985037,2.06694746,2.008330286,1.949713111,2.022133043,2.094355106,2.102962971,2.148104191,1.955382466,1.99113667,2.102521658,1.918079138,1.764009595,1.626625896,1.444870114,1.348617673,1.505501986,1.437439442,1.510535536,1.47517038,1.439805223,1.404440066,1.36907491
Azerbaijan,-1.359955225,-1.35112882,-1.342302416,-1.333476012,-1.324649607,-1.315823203,-1.306996799,-1.298170394,-1.28934399,-1.280517586,-1.271691181,-1.262864777,-1.254038373,-1.245211968,-1.236385564,-1.22755916,-1.218732755,-1.209906351,-1.201079947,-1.192253542,-1.183427138,-1.174600734,-1.165774329,-1.156947925,-1.254181266,-1.189442528,-1.124880672,-1.109933496,-1.09498632,-1.074138831,-1.053348303,-0.946838796,-1.111529112,-0.989110589,-0.989630938,-1.017777085,-1.04131341,-1.110044003,-1.179017186,-1.118293881,-1.076373339,-0.90352422,-0.92062974,-0.980419839,-0.971593434,-0.96276703,-0.953940626,-0.945114221
"Bahamas, The",1.312854481,1.31419365,1.315532819,1.316871988,1.318211157,1.319550326,1.320889495,1.322228664,1.323567833,1.324907002,1.326246171,1.32758534,1.328924509,1.330263678,1.331602847,1.332942016,1.334281185,1.335620354,1.336959523,1.338298692,1.339637861,1.34097703,1.342316199,1.343655368,1.202000976,1.275551125,1.348900318,1.367278337,1.385656357,1.417496847,1.44925034,1.399311662,1.402297258,1.330680847,1.376170874,1.370789886,1.380107999,1.366360903,1.357751727,1.359712958,1.343358278,1.356362581,1.294854879,1.370438749,1.371777918,1.373117087,1.374456256,1.375795425
Bahrain,0.244221002,0.247044197,0.249867392,0.252690587,0.255513782,0.258336977,0.261160172,0.263983367,0.266806562,0.269629757,0.272452952,0.275276146,0.278099341,0.280922536,0.283745731,0.286568926,0.289392121,0.292215316,0.295038511,0.297861706,0.300684901,0.303508096,0.306331291,0.309154486,0.166452095,0.133318549,0.100275531,0.236973874,0.373672217,0.57146523,0.768717825,0.449702978,0.529212952,0.46535936,0.243811309,0.251335025,0.24810937,0.241508976,0.249003798,0.236385137,0.393336445,0.452240437,0.299461216,0.365618386,0.368441581,0.371264776,0.374087971,0.376911166
Bangladesh,-0.523058752,-0.53770143,-0.552344108,-0.566986786,-0.581629465,-0.596272143,-0.610914821,-0.625557499,-0.640200177,-0.654842856,-0.669485534,-0.684128212,-0.69877089,-0.713413568,-0.728056247,-0.742698925,-0.757341603,-0.771984281,-0.786626959,-0.801269637,-0.815912316,-0.830554994,-0.845197672,-0.85984035,-0.733031988,-0.585885581,-0.439141214,-0.690943211,-0.942745209,-1.060086813,-1.177107811,-1.333667159,-1.488409877,-1.412445426,-1.422969818,-1.046986818,-1.016068935,-1.027248144,-1.023269892,-1.046835303,-0.868326008,-0.893454731,-0.910451531,-1.152693914,-1.167336592,-1.181979271,-1.196621949,-1.211264627
Barbados,1.169708042,1.175921834,1.182135625,1.188349417,1.194563209,1.200777001,1.206990793,1.213204585,1.219418376,1.225632168,1.23184596,1.238059752,1.244273544,1.250487336,1.256701127,1.262914919,1.269128711,1.275342503,1.281556295,1.287770087,1.293983878,1.30019767,1.306411462,1.312625254,1.35953927,1.369858057,1.380148649,1.382515728,1.384882808,1.342049854,1.29933393,1.316519618,1.232990623,1.306797147,1.261311531,1.339045882,1.30923152,1.334126115,1.436128974,1.764779687,1.662436366,1.609861612,1.028942943,1.436901091,1.443114882,1.449328674,1.455542466,1.461756258
Belarus,-1.078199212,-1.065853197,-1.053507181,-1.041161166,-1.02881515,-1.016469135,-1.004123119,-0.991777104,-0.979431089,-0.967085073,-0.954739058,-0.942393042,-0.930047027,-0.917701011,-0.905354996,-0.89300898,-0.880662965,-0.868316949,-0.855970934,-0.843624918,-0.831278903,-0.818932887,-0.806586872,-0.794240856,-0.930731416,-0.781693972,-0.633063734,-0.568123072,-0.503182411,-0.641373682,-0.779187381,-0.704946339,-0.922180414,-0.872314155,-0.627905667,-0.681611598,-0.637760758,-0.640954137,-0.729501784,-0.724858105,-0.524866641,-0.520021617,-0.320556402,-0.547320547,-0.534974531,-0.522628516,-0.5102825,-0.497936485
Belgium,1.024835037,1.036625707,1.048416377,1.060207047,1.071997717,1.083788388,1.095579058,1.107369728,1.119160398,1.130951068,1.142741739,1.154532409,1.166323079,1.178113749,1.189904419,1.20169509,1.21348576,1.22527643,1.2370671,1.24885777,1.260648441,1.272439111,1.284229781,1.296020451,1.313491464,1.316238759,1.318978548,1.389396429,1.45981431,1.454910672,1.450020432,1.381170988,1.35314548,1.34454453,1.249812961,1.296854854,1.318707585,1.427966118,1.494093537,1.559770703,1.553081393,1.630219579,1.552397609,1.531833855,1.543624525,1.555415196,1.567205866,1.578996536
