country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BEL,-1.262255885,-1.19063343,-1.119010975,-1.047388521,-0.975766066,-0.904143611,-0.832521157,-0.760898702,-0.689276247,-0.617653793,-0.546031338,-0.474408884,-0.402786429,-0.331163974,-0.25954152,-0.187919065,-0.11629661,-0.044674156,0.026948299,0.098570754,0.170193208,0.241815663,0.313438118,0.366260369,0.578762836,-0.149715236,0.19528959,0.276071793,0.538020701,0.761721438,1.066877644,1.468411503,1.503893047,1.529739823,1.49528661,1.490702069,1.560442535,1.467651486,1.48661314,1.649536264,1.617679263,1.627742996,1.659510732,1.712311423,1.755636142,1.680537883,1.670267218,2.103999484
BEN,-1.580875068,-1.551290048,-1.521705029,-1.49212001,-1.46253499,-1.432949971,-1.403364951,-1.373779932,-1.344194912,-1.314609893,-1.285024874,-1.255439854,-1.225854835,-1.196269815,-1.166684796,-1.137099777,-1.107514757,-1.077929738,-1.048344718,-1.018759699,-0.989174679,-0.95958966,-0.930004641,-0.900419621,-0.870834602,-0.841249582,-0.811664563,-0.782079543,-0.752494524,-0.722909505,-0.693324485,-0.663739466,-0.434403103,-0.542446552,-0.741639286,-0.620592707,-0.439039764,-0.540937441,-0.580708258,-0.515755789,-0.383165422,-0.346952643,-0.223916253,-0.289404748,-0.369311449,-0.214343878,-0.163272331,-0.190379155
BFA,-1.480514851,-1.450192218,-1.419869585,-1.389546952,-1.359224319,-1.328901686,-1.298579053,-1.26825642,-1.237933787,-1.207611154,-1.177288521,-1.146965887,-1.116643254,-1.086320621,-1.055997988,-1.025675355,-0.995352722,-0.965030089,-0.934707456,-0.904384823,-0.87406219,-0.843739557,-0.813416923,-0.78309429,-0.752771657,-0.722449024,-0.692126391,-0.661803758,-0.766619719,-0.675587266,-0.584803536,-0.494019805,-0.403236075,-0.312203622,-0.415420926,-0.524624763,-0.248612878,-0.20617262,-0.436476532,-0.479101539,-0.280558002,-0.2456862,-0.274819685,-0.239361843,-0.058343509,-0.056437065,-0.110885487,-0.055351096
BGD,-2.410082551,-2.372632039,-2.335181527,-2.297731015,-2.260280503,-2.222829991,-2.185379479,-2.147928967,-2.110478455,-2.073027943,-2.035577431,-1.998126919,-1.960676408,-1.923225896,-1.885775384,-1.848324872,-1.81087436,-1.773423848,-1.735973336,-1.698522824,-1.661072312,-1.6236218,-1.586171288,-1.548720776,-1.18794146,-1.319426837,-1.450552964,-1.581679091,-1.712805218,-1.844290595,-1.427247064,-1.296544038,-1.200706232,-1.095029585,-0.9746524,-0.956480512,-0.915106978,-0.780055171,-0.773017225,-0.665748045,-0.89620252,-0.802651636,-0.936564301,-0.889919599,-0.887591349,-0.793335528,-0.896688151,-0.649908489
BGR,-1.06040083,-1.036447841,-1.012494852,-0.988541863,-0.964588874,-0.940635885,-0.916682896,-0.892729907,-0.868776918,-0.844823929,-0.82087094,-0.796917951,-0.772964962,-0.749011973,-0.725058984,-0.701105995,-0.677153006,-0.653200017,-0.629247027,-0.605294038,-0.581341049,-0.55738806,-0.533435071,-0.509482082,-0.485529093,-0.461576104,-0.846422232,-0.575405597,-0.556193845,-0.37315477,-0.24359466,-0.155451275,-0.028713212,-0.035912105,-0.042599944,0.051182904,-0.201006157,-0.110525528,-0.196090323,-0.34363026,-0.126646872,-0.093786535,-0.020302525,-0.089233131,-0.110171499,-0.00380146,-0.058498643,0.065389655
BHR,3.090732511,3.020634046,2.95053558,2.880437114,2.810338649,2.740240183,2.670141717,2.600043252,2.529944786,2.459846321,2.389747855,2.319649389,2.249550924,2.179452458,2.109353992,2.039255527,1.969157061,1.899058595,1.82896013,1.758861664,1.688763198,1.618664733,1.548566267,1.478467801,1.408369336,1.33827087,1.268172405,1.198073939,1.127975473,1.057877008,0.987778542,0.810088755,0.737589918,0.792962445,0.749644644,0.483038653,0.655914828,0.511180568,0.42891382,0.509967444,0.386390226,0.260646015,0.285118067,0.411195912,-0.006515519,-0.372250692,-0.372819708,-0.203895374
BHS,3.840923938,3.781663031,3.722402123,3.663141216,3.603880309,3.544619402,3.485358495,3.426097588,3.366836681,3.307575773,3.248314866,3.189053959,3.129793052,3.070532145,3.011271238,2.952010331,2.892749424,2.833488516,2.774227609,2.714966702,2.655705795,2.596444888,2.537183981,2.477923074,2.418662166,2.359401259,2.300140352,2.240879445,2.181618538,2.122357631,2.063096724,2.003835816,1.944574909,1.885314002,1.826053095,1.766792188,1.707531281,1.648270374,1.589009466,1.55464521,1.412464423,1.42521011,1.404993572,1.295260912,1.185528252,1.154181838,1.146398775,1.055661302
BIH,-1.195314542,-1.172926804,-1.150539066,-1.128151328,-1.10576359,-1.083375852,-1.060988114,-1.038600375,-1.016212637,-0.993824899,-0.971437161,-0.949049423,-0.926661685,-0.904273947,-0.881886209,-0.859498471,-0.837110733,-0.814722995,-0.792335257,-0.769947519,-0.747559781,-0.725172042,-0.702784304,-0.680396566,-0.658008828,-0.63562109,-0.613233352,-0.590845614,-0.568457876,-0.546070138,-0.5236824,-0.418780374,-0.479479758,-0.542446552,-0.555228795,-0.332688874,-0.391433043,-0.493113895,-0.388399291,-0.401987849,-0.075343162,-0.043153314,-0.223916253,-0.239361843,-0.213827479,-0.266979483,-0.26804602,-0.143090853
BLR,-0.457806061,-0.458360021,-0.458913981,-0.459467941,-0.460021901,-0.460575861,-0.461129821,-0.461683781,-0.462237741,-0.462791702,-0.463345662,-0.463899622,-0.464453582,-0.465007542,-0.465561502,-0.466115462,-0.466669422,-0.467223382,-0.467777342,-0.468331303,-0.468885263,-0.469439223,-0.469993183,-0.470547143,-0.471101103,-0.471655063,-0.429737503,-0.532831727,-0.303682796,-0.10427311,0.094591741,-0.023786725,-0.389326449,-0.68059231,-0.928049777,-0.90849654,-0.962713699,-0.780055171,-0.724939983,-0.78010457,-0.639683971,-0.701385193,-0.631143709,-0.539619269,-0.161999489,0.048834144,0.046275046,-0.483842185
BLZ,0.825369276,0.793148393,0.76092751,0.728706627,0.696485744,0.664264861,0.632043978,0.599823095,0.567602212,0.535381329,0.503160446,0.470939563,0.43871868,0.406497797,0.374276914,0.342056031,0.309835148,0.277614265,0.245393382,0.213172499,0.180951616,0.148730733,0.11650985,0.084288967,0.052068084,0.019847201,-0.012373682,-0.044594565,-0.076815448,-0.109036331,-0.141257214,0.107877824,-0.163943175,-0.174057863,-0.275613058,-0.47664079,-0.534253207,-0.522108228,-0.509996432,-0.497884637,-0.485772841,-0.448219086,-0.427529981,-0.43953346,-0.524795419,-0.530157505,-0.739527618,-0.689012225
