Country Name,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,-0.425183168,-0.383311275,-0.341439382,-0.299567489,-0.257695596,-0.215823703,-0.173951811,-0.132079918,-0.090208025,-0.048336132,-0.006464239,0.035407654,0.077279547,0.119151439,0.161023332,0.202895225,0.244767118,0.286639011,0.328510904,0.370382797,0.412254689,0.454126582,0.495998475,0.537870368,0.579742261,0.621614154,0.663486047,0.70535794,0.747229832,0.789101725,0.830973618,0.872845511,0.699557126,1.121399999,1.043881655,1.007130384,1.003920317,1.228653312,1.25685811,1.257269621,1.257616162,1.247920394,1.240638494,1.375308225,1.417180118,1.459052011,1.500923904,1.542795797
Australia,1.522443582,1.52028091,1.518118238,1.515955567,1.513792895,1.511630223,1.509467551,1.507304879,1.505142207,1.502979535,1.500816863,1.498654191,1.496491519,1.494328848,1.492166176,1.490003504,1.487840832,1.48567816,1.483515488,1.481352816,1.479190144,1.477027472,1.4748648,1.472702129,1.46167922,1.448644892,1.435646176,1.475211442,1.514776707,1.468852128,1.423053026,1.4346174,1.522321105,1.524686098,1.420718312,1.397411466,1.401239395,1.403905869,1.443473816,1.477413893,1.503630638,1.438162923,1.374988317,1.429448691,1.427286019,1.425123347,1.422960675,1.420798003
Austria,1.286097803,1.289546282,1.292994762,1.296443241,1.299891721,1.3033402,1.30678868,1.31023716,1.313685639,1.317134119,1.320582598,1.324031078,1.327479557,1.330928037,1.334376516,1.337824996,1.341273475,1.344721955,1.348170434,1.351618914,1.355067393,1.358515873,1.361964352,1.365412832,1.488845706,1.436759305,1.384815216,1.362295568,1.33977592,1.321423314,1.303120852,1.285673022,1.455128431,1.35419035,1.412304878,1.404846787,1.396840096,1.418519258,1.465870142,1.432753444,1.457384825,1.464522481,1.412985325,1.434382423,1.437830902,1.441279382,1.444727861,1.448176341
Azerbaijan,-0.351573655,-0.375133396,-0.398693137,-0.422252879,-0.44581262,-0.469372361,-0.492932103,-0.516491844,-0.540051585,-0.563611327,-0.587171068,-0.610730809,-0.634290551,-0.657850292,-0.681410033,-0.704969775,-0.728529516,-0.752089257,-0.775648999,-0.79920874,-0.822768481,-0.846328223,-0.869887964,-0.893447705,-1.124702811,-1.063656857,-1.002777696,-0.928816468,-0.854855239,-0.903315944,-0.951644242,-1.061332941,-1.044362545,-1.08231163,-1.220444679,-1.176158786,-1.27822423,-1.210502148,-1.256035686,-1.247817278,-1.25206697,-1.353997469,-1.438833594,-1.364642532,-1.388202273,-1.411762015,-1.435321756,-1.458881497
"Bahamas, The",1.362889518,1.353597868,1.344306217,1.335014566,1.325722916,1.316431265,1.307139614,1.297847964,1.288556313,1.279264662,1.269973012,1.260681361,1.25138971,1.24209806,1.232806409,1.223514758,1.214223108,1.204931457,1.195639806,1.186348156,1.177056505,1.167764854,1.158473203,1.149181553,1.058806419,1.086056325,1.113231778,1.135824263,1.158416748,1.160770413,1.163117647,1.052933812,1.024445891,0.97856307,1.041360736,1.126211286,1.149162769,1.007381916,0.979419112,0.947856247,0.917664111,0.905134082,1.062679291,0.963348539,0.954056889,0.944765238,0.935473587,0.926181937
Bahrain,-0.319253697,-0.338587048,-0.357920398,-0.377253748,-0.396587099,-0.415920449,-0.435253799,-0.45458715,-0.4739205,-0.49325385,-0.512587201,-0.531920551,-0.551253901,-0.570587252,-0.589920602,-0.609253952,-0.628587303,-0.647920653,-0.667254003,-0.686587354,-0.705920704,-0.725254054,-0.744587404,-0.763920755,-0.742810547,-0.927342231,-1.111369729,-1.107103646,-1.102837563,-0.862301886,-0.62242341,-0.686418116,-0.616631687,-0.805771828,-0.907280862,-0.861876667,-0.874837399,-0.799028516,-0.971696794,-1.22226727,-1.324511766,-1.320832968,-1.320487976,-1.150587761,-1.169921111,-1.189254462,-1.208587812,-1.227921162
Bangladesh,-0.029221238,-0.04039611,-0.051570983,-0.062745855,-0.073920728,-0.0850956,-0.096270472,-0.107445345,-0.118620217,-0.12979509,-0.140969962,-0.152144834,-0.163319707,-0.174494579,-0.185669452,-0.196844324,-0.208019196,-0.219194069,-0.230368941,-0.241543814,-0.252718686,-0.263893558,-0.275068431,-0.286243303,-0.123880349,-0.146628182,-0.169313863,-0.24186682,-0.314419776,-0.418546277,-0.522388279,-0.631293416,-0.68038851,-0.604699731,-0.483471066,-0.542060196,-0.468942344,-0.301369041,-0.281164438,-0.322546899,-0.413482636,-0.423409075,-0.471977621,-0.509740751,-0.520915624,-0.532090496,-0.543265369,-0.554440241
Barbados,1.828031098,1.810689759,1.793348419,1.77600708,1.75866574,1.741324401,1.723983061,1.706641722,1.689300383,1.671959043,1.654617704,1.637276364,1.619935025,1.602593685,1.585252346,1.567911006,1.550569667,1.533228327,1.515886988,1.498545649,1.481204309,1.46386297,1.44652163,1.429180291,1.47296381,1.443588419,1.414293289,1.413028777,1.411764264,1.378419026,1.345164895,1.223383546,1.159984827,1.05988133,1.14226687,1.126736045,1.056724787,1.201369047,1.209164858,1.186965942,1.183498979,1.183065653,1.247306705,1.082353502,1.065012162,1.047670823,1.030329483,1.012988144
Belarus,-0.378352011,-0.410511386,-0.442670761,-0.474830136,-0.50698951,-0.539148885,-0.57130826,-0.603467635,-0.63562701,-0.667786385,-0.69994576,-0.732105134,-0.764264509,-0.796423884,-0.828583259,-0.860742634,-0.892902009,-0.925061384,-0.957220758,-0.989380133,-1.021539508,-1.053698883,-1.085858258,-1.118017633,-1.071204185,-0.962451811,-0.853996575,-1.099701315,-1.345406055,-1.41690497,-1.488208532,-1.498203397,-1.587311864,-1.770317912,-1.745298386,-1.693513393,-1.574573874,-1.534251213,-1.536471367,-1.640805483,-1.548103213,-1.539523602,-1.446369052,-1.76120513,-1.793364505,-1.825523879,-1.857683254,-1.889842629
Belgium,1.488034787,1.485020088,1.48200539,1.478990692,1.475975994,1.472961296,1.469946598,1.466931899,1.463917201,1.460902503,1.457887805,1.454873107,1.451858409,1.44884371,1.445829012,1.442814314,1.439799616,1.436784918,1.43377022,1.430755521,1.427740823,1.424726125,1.421711427,1.418696729,1.461896539,1.410419175,1.35908246,1.37401551,1.38894856,1.389394057,1.389838338,1.455802917,1.449338913,1.411719799,1.361388326,1.384190083,1.347147346,1.364644766,1.381924868,1.343333006,1.348940253,1.373283267,1.387137055,1.358402766,1.355388067,1.352373369,1.349358671,1.346343973
Belize,1.249224291,1.233637775,1.218051259,1.202464743,1.186878227,1.171291711,1.155705195,1.140118679,1.124532163,1.108945647,1.093359131,1.077772616,1.0621861,1.046599584,1.031013068,1.015426552,0.999840036,0.98425352,0.968667004,0.953080488,0.937493972,0.921907457,0.906320941,0.890734425,0.781923711,0.816052271,0.850087583,0.897508681,0.944929779,0.862123108,0.779542685,0.876422167,0.76553297,0.746059477,0.499743998,0.494129688,0.619366467,0.748052776,0.675731421,0.674942315,0.695349276,0.701999903,0.533017814,0.579004107,0.563417591,0.547831075,0.532244559,0.516658043
Benin,0.288709304,0.286477197,0.28424509,0.282012984,0.279780877,0.27754877,0.275316663,0.273084557,0.27085245,0.268620343,0.266388237,0.26415613,0.261924023,0.259691916,0.25745981,0.255227703,0.252995596,0.250763489,0.248531383,0.246299276,0.244067169,0.241835062,0.239602956,0.237370849,0.117397346,0.229160884,0.340619057,0.350549087,0.360479116,0.177642569,-0.004694424,0.236438289,0.100261793,0.01257655,0.330746114,0.336236268,0.301525414,0.326503694,0.288788646,0.137502581,0.093635678,0.11620196,0.234375268,0.192728714,0.190496607,0.188264501,0.186032394,0.183800287
Bermuda,1.094502871,1.092887218,1.091271565,1.089655912,1.088040259,1.086424606,1.084808953,1.0831933,1.081577647,1.079961994,1.078346341,1.076730688,1.075115035,1.073499382,1.071883729,1.070268076,1.068652423,1.06703677,1.065421117,1.063805464,1.062189811,1.060574158,1.058958505,1.057342852,1.125417233,1.114343058,1.103299141,0.990048707,0.876798272,0.965096639,1.053153753,1.096335411,1.084344625,1.121399999,1.043881655,1.007130384,1.003920317,0.995612085,1.023958206,1.047435284,1.059504867,1.044215083,1.026645445,1.025029792,1.023414139,1.021798487,1.020182834,1.018567181
Bhutan,-2.355076432,-2.307007045,-2.258937657,-2.21086827,-2.162798883,-2.114729496,-2.066660109,-2.018590721,-1.970521334,-1.922451947,-1.87438256,-1.826313172,-1.778243785,-1.730174398,-1.682105011,-1.634035624,-1.585966236,-1.537896849,-1.489827462,-1.441758075,-1.393688688,-1.3456193,-1.297549913,-1.249480526,-0.812734187,-0.899777323,-0.986582637,-0.984557927,-0.982533216,-1.106783198,-1.230693698,-1.188333511,-0.92216742,-1.033903718,-1.008611679,-0.84219557,-0.561919034,-0.514456689,-0.458017439,-0.44154644,-0.312351227,-0.183028325,-0.136753142,-0.288092782,-0.240023394,-0.191954007,-0.14388462,-0.095815233
Bolivia,0.445863711,0.432122876,0.418382041,0.404641206,0.390900371,0.377159536,0.363418701,0.349677866,0.335937031,0.322196196,0.308455362,0.294714527,0.280973692,0.267232857,0.253492022,0.239751187,0.226010352,0.212269517,0.198528682,0.184787847,0.171047012,0.157306177,0.143565342,0.129824507,0.023582358,0.143746572,0.263582468,0.163938072,0.064293675,0.063955616,0.063618481,-0.087901846,-0.194240764,-0.171665609,0.039381236,0.000136861,-0.045184378,-0.030615959,-0.073939204,-0.102013193,-0.11854478,-0.102699123,-0.043523438,-0.144992191,-0.158733026,-0.172473861,-0.186214696,-0.199955531
Bosnia and Herzegovina,-0.21969695,-0.215354458,-0.211011966,-0.206669474,-0.202326982,-0.19798449,-0.193641998,-0.189299507,-0.184957015,-0.180614523,-0.176272031,-0.171929539,-0.167587047,-0.163244555,-0.158902063,-0.154559571,-0.150217079,-0.145874587,-0.141532096,-0.137189604,-0.132847112,-0.12850462,-0.124162128,-0.119819636,-0.182059675,-0.15816038,-0.134326383,-0.194111444,-0.253896505,-0.225596398,-0.197373614,0.140820831,0.115338057,0.180182308,0.158131108,0.101073489,-0.029811941,-0.036050126,-0.127973497,-0.213159978,-0.141155303,-0.160041556,-0.093328573,-0.032969798,-0.028627306,-0.024284814,-0.019942322,-0.01559983
Botswana,1.32737434,1.304917965,1.282461589,1.260005214,1.237548838,1.215092462,1.192636087,1.170179711,1.147723336,1.12526696,1.102810585,1.080354209,1.057897834,1.035441458,1.012985083,0.990528707,0.968072331,0.945615956,0.92315958,0.900703205,0.878246829,0.855790454,0.833334078,0.810877703,0.867696524,0.796272664,0.725043952,0.684695512,0.644347072,0.6478659,0.651375115,0.691309571,0.726399124,0.574014544,0.489192158,0.482234001,0.484932661,0.42135483,0.442050666,0.396162212,0.502951562,0.471228421,0.440838546,0.361750192,0.339293816,0.31683744,0.294381065,0.271924689
Brazil,-0.326594221,-0.305922514,-0.285250808,-0.264579101,-0.243907394,-0.223235688,-0.202563981,-0.181892274,-0.161220568,-0.140548861,-0.119877155,-0.099205448,-0.078533741,-0.057862035,-0.037190328,-0.016518621,0.004153085,0.024824792,0.045496498,0.066168205,0.086839912,0.107511618,0.128183325,0.148855032,0.092391968,0.132335484,0.172169864,0.161325634,0.150481403,0.271682912,0.39255327,0.410508275,0.371802002,0.445943087,0.453465909,0.489638329,0.512927532,0.486521006,0.529738069,0.473596841,0.431969613,0.367190599,0.409628063,0.562289164,0.582960871,0.603632577,0.624304284,0.644975991
